cell_id,lat,lon,obs_u,obs_v,obs_speed
14,-39.0,-179.0,-0.0104,-0.006,0.012006664815842907
15,-37.0,-179.0,-0.0049,0.0028,0.005643580423808985
16,-35.0,-179.0,-0.0074,-0.0079,0.010824509226750191
24,-5.0,-179.0,0.0219,-0.001,0.02192281916177753
26,-1.0,-179.0,0.0198,0.0035,0.020106963967740133
30,7.0,-179.0,-0.0108,0.0005,0.010811567878897123
34,15.0,-179.0,-0.003,-0.0038,0.004841487374764082
43,33.0,-179.0,-0.0022,-0.009,0.009264987857520375
46,39.0,-179.0,0.0076,0.0007,0.007632168761236874
47,41.0,-179.0,0.0083,-0.0024,0.008640023148117138
53,55.0,-179.0,0.0025,-0.0076,0.008000624975587844
54,57.0,-179.0,-0.0049,-0.0004,0.0049162994213127415
55,59.0,-179.0,-0.0097,0.0121,0.015508062419270822
57,-67.0,-177.0,0.0146,0.0128,0.0194164878389476
59,-63.0,-177.0,0.0275,0.004,0.027789386463180507
60,-61.0,-177.0,0.0217,-0.0061,0.022541073621280775
61,-59.0,-177.0,0.0362,-0.0139,0.03877692612882048
63,-55.0,-177.0,0.0699,0.0096,0.07055614785403183
64,-53.0,-177.0,-0.013,-0.0082,0.01537010084547268
67,-47.0,-177.0,0.0491,-0.0979,0.10952269171272225
69,-39.0,-177.0,-0.0179,0.0046,0.018481612483763423
75,-27.0,-177.0,-0.0289,-0.0023,0.02899137802864845
76,-23.0,-177.0,-0.0119,-0.003,0.012272326592785902
77,-21.0,-177.0,-0.0043,0.0022,0.004830113870293329
78,-19.0,-177.0,-0.0063,0.0061,0.008769264507357502
79,-17.0,-177.0,-0.0192,0.005,0.019840362899906844
82,-11.0,-177.0,-0.0018,-0.0011,0.0021095023109728986
85,-5.0,-177.0,0.0142,0.0002,0.014201408380861386
87,-1.0,-177.0,0.0153,-0.0062,0.016508482668010405
92,9.0,-177.0,0.0061,-0.0015,0.006281719509815764
94,13.0,-177.0,-0.0013,-0.0029,0.0031780497164141403
95,15.0,-177.0,-0.0049,0.0082,0.0095524865872714
97,19.0,-177.0,0.0017,-0.0018,0.002475883680627989
99,23.0,-177.0,0.0017,0.001,0.001972308292331602
101,27.0,-177.0,-0.0002,0.002,0.002009975124224178
104,33.0,-177.0,-0.001,0.001,0.001414213562373095
108,41.0,-177.0,0.0073,-0.0046,0.008628441342444185
113,51.0,-177.0,-0.0552,-0.0119,0.056468132605922074
126,-51.0,-175.0,0.0209,-0.0248,0.032432237048961025
129,-45.0,-175.0,-0.062,-0.04,0.07378346698278687
132,-37.0,-175.0,-0.0065,-0.0021,0.006830812543175226
133,-35.0,-175.0,-0.0087,-0.0021,0.008949860334105778
146,-5.0,-175.0,0.007,0.0,0.007
150,3.0,-175.0,0.0104,0.0007,0.010423531071570707
152,7.0,-175.0,-0.0065,0.0002,0.006503076195155643
154,11.0,-175.0,-0.0189,-0.0014,0.018951780918953238
159,21.0,-175.0,-0.0031,-0.0002,0.0031064449134018133
166,35.0,-175.0,-0.0088,-0.0053,0.010272779565434079
169,41.0,-175.0,0.002,0.0033,0.0038587562763149476
171,45.0,-175.0,0.0154,0.0102,0.01847159982243011
172,47.0,-175.0,0.0084,0.0047,0.00962548700066651
173,49.0,-175.0,0.0156,-0.0027,0.015831929762350514
175,53.0,-175.0,0.0146,0.0111,0.018340392580312996
179,-67.0,-173.0,0.0206,0.0131,0.02441249679979498
180,-65.0,-173.0,0.0307,0.0155,0.03439098719141397
183,-59.0,-173.0,0.0347,0.0,0.0347
191,-43.0,-173.0,0.003,-0.0195,0.019729419656948858
192,-41.0,-173.0,0.0143,0.0035,0.0147220922426128
196,-33.0,-173.0,-0.0029,0.0001,0.0029017236257093816
197,-31.0,-173.0,-0.0058,0.0044,0.007280109889280518
198,-29.0,-173.0,-0.0095,0.0001,0.009500526301210897
203,-19.0,-173.0,-0.0096,0.0212,0.02327230113246217
204,-17.0,-173.0,0.005,-0.0028,0.005730619512757762
205,-15.0,-173.0,0.0023,-0.0009,0.0024698178070456937
211,-3.0,-173.0,-0.0321,0.0019,0.03215618136533006
213,1.0,-173.0,-0.0362,0.0032,0.03634116123626211
214,3.0,-173.0,0.0137,-0.0016,0.013793114224133722
222,19.0,-173.0,0.0093,-0.0015,0.009420191080864547
224,23.0,-173.0,0.0017,-0.0007,0.0018384776310850235
