cell_id,lat,lon,theta,salt,dT_dx,dT_dy,dS_dx,dS_dy,f_coriolis
14,-39.0,-179.0,5.7979,34.411,-0.0149,-0.0751,-0.00816,-0.00669,-9.1781e-05
15,-37.0,-179.0,5.6523,34.3995,-0.13348,-0.07006,-0.01381,-0.00651,-8.777e-05
16,-35.0,-179.0,5.4062,34.3807,-0.15431,-0.0924,-0.01104,-0.0053,-8.3652e-05
24,-5.0,-179.0,4.5665,34.5416,0.00844,0.03565,0.00042,0.00276,-1.2711e-05
26,-1.0,-179.0,4.5285,34.552,-0.01002,0.02553,0.00051,0.0009,-2.545e-06
30,7.0,-179.0,4.548,34.5573,0.01087,0.00332,2e-05,-0.00061,1.7774e-05
34,15.0,-179.0,4.4564,34.532,0.00459,-0.07202,4e-05,-0.00257,3.7747e-05
43,33.0,-179.0,3.5764,34.2853,0.01801,-0.02575,-0.00422,0.0018,7.9431e-05
46,39.0,-179.0,3.3523,34.3051,0.01087,-0.08183,-0.00185,0.01368,9.1781e-05
47,41.0,-179.0,3.2149,34.3282,0.00514,-0.04128,0.00053,0.00536,9.5681e-05
53,55.0,-179.0,2.8598,34.351,-0.00041,-0.02598,-0.00102,0.00289,0.000119467
54,57.0,-179.0,2.8364,34.3476,-0.00731,-4e-05,0.00034,-0.00368,0.000122313
55,59.0,-179.0,2.8577,34.3381,0.01264,0.02112,-0.00106,-0.0055,0.000125011
57,-67.0,-177.0,1.0451,34.7194,-0.00585,0.05107,0.00014,0.00154,-0.000134248
59,-63.0,-177.0,2.0754,34.7113,-0.04151,0.1259,0.00363,-0.01868,-0.000129946
60,-61.0,-177.0,2.2347,34.6728,-0.01836,0.06021,0.00574,-0.01993,-0.000127556
61,-59.0,-177.0,2.4465,34.5886,-0.00109,0.11405,-9e-05,-0.0514,-0.000125011
63,-55.0,-177.0,3.1815,34.3816,-0.08666,0.28242,0.01411,-0.0402,-0.000119467
64,-53.0,-177.0,3.5434,34.3431,0.10932,-0.04456,-0.01038,0.01029,-0.000116475
67,-47.0,-177.0,4.5695,34.3561,0.73529,0.51014,-0.00569,-0.0059,-0.000106662
69,-39.0,-177.0,5.7649,34.3981,-0.043,-0.15067,-0.00822,-0.00737,-9.1781e-05
75,-27.0,-177.0,4.9115,34.3493,0.01925,-0.1067,-0.00271,0.00511,-6.6211e-05
76,-23.0,-177.0,4.3562,34.4033,0.00141,-0.1782,-0.00357,0.01733,-5.6985e-05
77,-21.0,-177.0,4.1135,34.4277,0.05231,-0.03543,-0.00091,0.00485,-5.2265e-05
78,-19.0,-177.0,4.0928,34.4351,0.0421,-0.02671,-0.00023,0.00378,-4.7482e-05
79,-17.0,-177.0,3.8747,34.4602,0.01584,-0.14249,0.00221,0.01767,-4.264e-05
82,-11.0,-177.0,4.4027,34.5214,0.022,0.02953,0.00075,0.00437,-2.7828e-05
85,-5.0,-177.0,4.5714,34.5431,-0.00402,0.03347,0.00038,0.00192,-1.2711e-05
87,-1.0,-177.0,4.5231,34.5522,0.01238,0.0322,-0.00057,0.00013,-2.545e-06
92,9.0,-177.0,4.5319,34.556,0.00205,0.0062,-0.0003,-0.00186,2.2815e-05
94,13.0,-177.0,4.5028,34.5425,-0.00287,-0.00462,0.00069,-0.00396,3.2807e-05
95,15.0,-177.0,4.4408,34.5334,0.00182,-0.06236,0.00091,-0.00413,3.7747e-05
97,19.0,-177.0,4.1985,34.5147,-0.00362,-0.06449,0.00072,-0.00697,4.7482e-05
99,23.0,-177.0,3.9114,34.4474,0.0218,-0.0891,0.00218,-0.02545,5.6985e-05
101,27.0,-177.0,3.7467,34.3432,0.00577,-0.0308,0.00314,-0.01979,6.6211e-05
104,33.0,-177.0,3.5769,34.287,-0.01763,-0.02662,0.0048,0.00435,7.9431e-05
108,41.0,-177.0,3.2263,34.3284,0.01535,-0.05599,-0.0008,0.00825,9.5681e-05
113,51.0,-177.0,2.7481,34.3948,-0.0783,0.14602,0.02094,-0.03462,0.000113341
126,-51.0,-175.0,3.6071,34.3543,0.2777,0.07861,-0.01902,0.00428,-0.000113341
129,-45.0,-175.0,5.6596,34.373,0.36285,-0.07156,0.00814,0.01182,-0.000103126
132,-37.0,-175.0,5.38,34.3687,-0.02664,-0.10047,-0.00404,-0.00589,-8.777e-05
133,-35.0,-175.0,5.2362,34.3558,-0.03497,-0.03936,-0.00305,-0.00374,-8.3652e-05
146,-5.0,-175.0,4.5776,34.5428,0.00669,0.03876,0.00023,0.00087,-1.2711e-05
150,3.0,-175.0,4.5521,34.5563,-0.00271,0.02922,2e-05,-0.00033,7.633e-06
152,7.0,-175.0,4.5592,34.5582,0.00278,0.00787,-0.0,-0.00045,1.7774e-05
