cell_id,lat,lon,theta,salt,dT_dx,dT_dy,dS_dx,dS_dy,f_coriolis,obs_u,obs_v,n_cycles
0,-69.0,-179.0,1.0547,34.7201,0.0399,-0.01218,-0.00047,-0.00031,-0.000136155,0.0123,0.0023,15
1,-67.0,-179.0,1.031,34.7188,0.02851,0.04905,0.00128,0.00142,-0.000134248,0.0484,-0.0258,33
2,-65.0,-179.0,1.5307,34.7291,0.08154,0.34278,0.00157,0.00387,-0.000132178,0.0333,-0.0115,92
3,-63.0,-179.0,2.0863,34.7107,0.01318,0.13886,-0.00138,-0.02035,-0.000129946,0.0292,-0.0082,133
4,-61.0,-179.0,2.2675,34.6608,-0.03655,0.06899,0.01428,-0.02632,-0.000127556,0.0247,0.0241,157
5,-59.0,-179.0,2.4632,34.5799,-0.03222,0.08763,0.01483,-0.03925,-0.000125011,0.0336,0.0214,169
6,-57.0,-179.0,2.6892,34.4895,0.03095,0.15698,-0.01192,-0.0528,-0.000122313,0.0585,-0.0107,182
7,-55.0,-179.0,3.1677,34.3794,0.12323,0.18182,-0.01632,-0.02368,-0.000119467,0.0193,-0.028,141
8,-53.0,-179.0,3.2625,34.3785,0.27833,-0.07225,-0.03759,0.01427,-0.000116475,0.0021,-0.0472,201
9,-51.0,-179.0,3.005,34.4226,0.12479,-0.07108,-0.01565,0.01344,-0.000113341,0.0034,-0.022,206
10,-49.0,-179.0,2.9764,34.4124,0.14141,-0.12591,-0.00716,-0.00466,-0.000110068,0.0884,0.0971,149
11,-47.0,-179.0,3.5976,34.3709,0.56547,0.45632,-0.02513,-0.025,-0.000106662,0.0119,0.008,117
12,-45.0,-179.0,3.9641,34.3371,0.29913,0.06462,-8e-05,-0.01277,-0.000103126,0.0422,-0.0134,170
13,-41.0,-179.0,5.7812,34.4203,0.06798,0.14441,-0.00584,-0.00189,-9.5681e-05,0.0329,-0.0136,270
17,-33.0,-179.0,5.3074,34.3799,-0.07816,-0.02666,-0.00945,-0.00088,-7.9431e-05,-0.005,-0.0043,254
18,-29.0,-179.0,5.1064,34.3561,0.02753,-0.08801,0.00039,-0.00568,-7.0706e-05,-0.0156,-0.0197,353
19,-15.0,-179.0,3.8377,34.4882,-0.04268,0.09987,0.00865,0.01821,-3.7747e-05,-0.0058,0.0065,240
20,-13.0,-179.0,4.1577,34.5129,0.01803,0.13823,0.00085,0.00504,-3.2807e-05,0.002,-0.0002,173
21,-11.0,-179.0,4.3687,34.5215,0.00733,0.03013,0.00068,0.00253,-2.7828e-05,-0.0011,-0.005,295
22,-9.0,-179.0,4.4489,34.5251,-0.00191,0.0621,0.00077,0.0018,-2.2815e-05,0.0007,0.0002,276
23,-7.0,-179.0,4.4622,34.5363,-0.00266,-0.00788,0.00019,0.00596,-1.7774e-05,0.0101,0.0008,111
25,-3.0,-179.0,4.5068,34.5503,0.00431,-0.03063,0.00041,0.00175,-7.633e-06,-0.0261,0.0025,289
27,1.0,-179.0,4.5617,34.5525,0.00338,-0.0063,-0.00022,0.00018,2.545e-06,-0.0288,0.0013,392
28,3.0,-179.0,4.5729,34.5546,-0.00026,0.02435,0.00029,0.00044,7.633e-06,0.0146,0.0012,179
29,5.0,-179.0,4.5497,34.5563,0.00811,-0.03696,-0.00013,0.00188,1.2711e-05,0.002,0.002,213
31,9.0,-179.0,4.5254,34.5568,0.005,0.03422,-0.00016,-0.00117,2.2815e-05,0.0109,-0.0019,235
32,11.0,-179.0,4.5679,34.5519,-0.00376,-0.04316,-0.00061,-0.00227,2.7828e-05,-0.0166,-0.0002,223
33,13.0,-179.0,4.5048,34.5419,0.0083,0.00011,-0.00036,-0.00657,3.2807e-05,0.0115,-0.0007,152
35,17.0,-179.0,4.3062,34.5244,-0.00343,-0.05575,0.00042,-0.00396,4.264e-05,-0.0104,-0.0004,164
36,19.0,-179.0,4.1923,34.5119,-0.00057,-0.02999,0.00137,-0.00804,4.7482e-05,0.006,-0.0019,123
37,21.0,-179.0,4.1034,34.4874,0.00857,-0.06249,0.00288,-0.01416,5.2265e-05,-0.001,-0.0012,246
38,23.0,-179.0,3.9259,34.4435,-0.01212,-0.09035,0.0039,-0.02546,5.6985e-05,-0.0005,0.0001,199
39,25.0,-179.0,3.7435,34.3842,0.02421,-0.02713,0.00149,-0.02631,6.1635e-05,0.001,0.0018,144
40,27.0,-179.0,3.7369,34.3395,0.01646,-0.0327,0.0013,-0.01475,6.6211e-05,-0.0078,-0.0016,134
41,29.0,-179.0,3.6616,34.3069,-0.00026,-0.00981,-0.00266,-0.01264,7.0706e-05,-0.0038,0.0014,126
42,31.0,-179.0,3.6453,34.2878,-0.00158,-0.02166,-0.00304,-0.00371,7.5114e-05,-0.0123,0.0017,146
44,35.0,-179.0,3.5373,34.2898,0.01979,-0.03315,-0.00339,0.00508,8.3652e-05,-0.001,0.0074,106
45,37.0,-179.0,3.4758,34.2946,0.0205,-0.01929,-0.00562,-0.00417,8.777e-05,0.0011,-0.0007,147
48,43.0,-179.0,3.0921,34.3478,-0.00481,-0.0616,0.00106,0.01061,9.9464e-05,0.0081,-0.0009,86
49,45.0,-179.0,2.9339,34.3704,0.00306,-0.09484,0.00042,0.01142,0.000103126,0.0142,-0.0016,134
50,47.0,-179.0,2.7684,34.3906,0.01888,-0.04727,-0.00125,0.00782,0.000106662,0.0123,0.0046,141
51,49.0,-179.0,2.6613,34.4131,-0.00685,-0.0451,0.00165,0.01253,0.000110068,0.0163,-0.001,104
52,53.0,-179.0,2.9087,34.3394,0.06553,0.046,-0.02019,-0.01313,0.000116475,0.0039,0.0045,91
56,-69.0,-177.0,1.0706,34.7204,-0.0001,-0.01975,0.00088,-5e-05,-0.000136155,0.0067,0.0319,18
