year,sia_sep_nh,sia_mar_nh,sia_sep_sh,sia_feb_sh,tau_sia,source
1901,6.2914,14.9577,19.7703,2.671,0.5,IAPICE1
1902,6.3297,14.9628,19.7703,2.671,0.5,IAPICE1
1903,6.879,14.7895,19.7703,2.671,0.5,IAPICE1
1904,6.3408,14.9298,19.7703,2.671,0.5,IAPICE1
1905,5.7661,14.9029,19.7703,2.671,0.5,IAPICE1
1906,6.6448,14.6782,19.7703,2.671,0.5,IAPICE1
1907,6.4525,14.5601,19.7703,2.671,0.5,IAPICE1
1908,5.2372,14.7652,19.7703,2.671,0.5,IAPICE1
1909,6.1481,14.8708,19.7703,2.671,0.5,IAPICE1
1910,5.0424,15.1854,19.7703,2.671,0.5,IAPICE1
1911,6.3197,15.1508,19.7703,2.671,0.5,IAPICE1
1912,7.1393,14.9163,19.7703,2.671,0.5,IAPICE1
1913,6.1689,14.8145,19.7703,2.671,0.5,IAPICE1
1914,6.7592,15.0234,19.7703,2.671,0.5,IAPICE1
1915,6.4965,14.6854,19.7703,2.671,0.5,IAPICE1
1916,6.5326,14.8955,19.7703,2.671,0.5,IAPICE1
1917,6.4431,15.1729,19.7703,2.671,0.5,IAPICE1
1918,6.0158,14.8621,19.7703,2.671,0.5,IAPICE1
1919,5.4009,14.9195,19.7703,2.671,0.5,IAPICE1
1920,6.5644,14.9498,19.7703,2.671,0.5,IAPICE1
1921,6.6291,14.6542,19.7703,2.671,0.5,IAPICE1
1922,5.8674,14.9157,19.7703,2.671,0.5,IAPICE1
1923,6.2072,15.033,19.7703,2.671,0.5,IAPICE1
1924,5.3991,14.8287,19.7703,2.671,0.5,IAPICE1
1925,5.3746,14.6607,19.7703,2.671,0.5,IAPICE1
1926,6.1417,14.6192,19.7703,2.671,0.5,IAPICE1
1927,4.8139,14.391,19.7703,2.671,0.5,IAPICE1
1928,5.8336,14.2907,19.7703,2.671,0.5,IAPICE1
1929,5.6293,14.2472,19.7703,2.671,0.5,IAPICE1
1930,5.2065,14.3791,19.7703,2.671,0.5,IAPICE1
1931,4.7337,14.139,19.7703,2.671,0.5,IAPICE1
1932,4.1906,14.1909,19.7703,2.671,0.5,IAPICE1
1933,6.1717,14.2874,19.7703,2.671,0.5,IAPICE1
1934,4.729,14.274,19.7703,2.671,0.5,IAPICE1
1935,4.989,14.3538,19.7703,2.671,0.5,IAPICE1
1936,4.5059,14.3604,19.7703,2.671,0.5,IAPICE1
1937,4.4375,14.2605,19.7703,2.671,0.5,IAPICE1
1938,4.3591,14.1976,19.7703,2.671,0.5,IAPICE1
1939,4.8885,14.3482,19.7703,2.671,0.5,IAPICE1
1940,5.0555,13.9798,19.4549,2.6589,0.5,IAPICE1
1941,5.6458,14.3538,19.1977,2.6512,0.5,IAPICE1
1942,5.288,14.3957,18.7333,2.6841,0.5,IAPICE1
1943,5.995,14.5448,18.4513,2.676,0.5,IAPICE1
1944,4.9613,14.0192,18.206,2.7286,0.5,IAPICE1
1945,5.5898,13.8395,17.8843,2.792,0.5,IAPICE1
1946,5.0689,14.3908,17.5429,2.8365,0.5,IAPICE1
1947,5.6217,14.7777,17.4464,2.8933,0.5,IAPICE1
1948,6.1098,14.6254,17.4464,2.8933,0.5,IAPICE1
1949,6.4592,14.4158,17.4464,2.8933,0.5,IAPICE1
1950,6.4846,14.69,17.4464,2.8933,0.5,IAPICE1
1951,4.8437,14.3684,17.4464,2.8933,0.5,IAPICE1
1952,4.9817,14.5838,17.4464,2.8933,0.5,IAPICE1
1953,5.7523,14.3451,17.4464,2.8933,0.25,IAPICE1
1954,5.596,14.2604,17.4464,2.8933,0.25,IAPICE1
1955,6.2892,14.5103,17.4464,2.8933,0.25,IAPICE1
1956,6.4021,14.8073,17.4464,2.8933,0.25,IAPICE1
1957,5.3311,14.4396,17.4464,2.8933,0.25,IAPICE1
1958,6.1493,14.2043,17.4464,2.8933,0.25,IAPICE1
1959,6.1202,14.8658,17.4464,2.8933,0.25,IAPICE1
1960,5.4426,14.5811,17.4464,2.8933,0.25,IAPICE1
1961,6.0413,14.2457,17.4464,2.8933,0.25,IAPICE1
1962,6.7959,14.512,17.4464,2.8933,0.25,IAPICE1
