year,global_anomaly,nh_anomaly,sh_anomaly,global_lower_ci,global_upper_ci
1850,-0.4264831,-0.4635449,-0.3894213,-0.5996,-0.2533662
1851,-0.2635183,-0.2907865,-0.2362501,-0.4377628,-0.0892738
1852,-0.2240529,-0.2338715,-0.2142343,-0.388653,-0.0594528
1853,-0.2623488,-0.2402321,-0.2844654,-0.4214298,-0.1032677
1854,-0.293584,-0.1886691,-0.398499,-0.4315455,-0.1556227
1855,-0.2913865,-0.2453334,-0.3374396,-0.4268078,-0.1559651
1856,-0.3280903,-0.3562441,-0.2999366,-0.4723115,-0.1838692
1857,-0.4658559,-0.4602681,-0.4714437,-0.6176879,-0.314024
1858,-0.3967561,-0.3839859,-0.4095264,-0.547466,-0.2460463
1859,-0.2919773,-0.2804817,-0.3034729,-0.4342048,-0.1497498
1860,-0.4071294,-0.50086,-0.3133987,-0.5581944,-0.2560643
1861,-0.4636966,-0.4791448,-0.4482484,-0.6342443,-0.2931489
1862,-0.5548254,-0.744411,-0.3652398,-0.7238016,-0.3858493
1863,-0.3828465,-0.3827381,-0.382955,-0.5779681,-0.187725
1864,-0.494137,-0.5225001,-0.4657739,-0.6809102,-0.3073638
1865,-0.3922417,-0.4873498,-0.2971336,-0.5916314,-0.1928519
1866,-0.4001619,-0.490525,-0.3097988,-0.5962865,-0.2040373
1867,-0.3994146,-0.4898195,-0.3090096,-0.6012886,-0.1975406
1868,-0.3631208,-0.3869503,-0.3392912,-0.5465949,-0.1796467
1869,-0.3185221,-0.2598875,-0.3771568,-0.4801403,-0.1569039
1870,-0.3277812,-0.3189853,-0.3365771,-0.4750358,-0.1805267
1871,-0.3734232,-0.4575577,-0.2892888,-0.5235873,-0.2232592
1872,-0.3094512,-0.3284382,-0.2904642,-0.4458159,-0.1730866
1873,-0.3211782,-0.3453284,-0.2970281,-0.4513897,-0.1909667
1874,-0.3654112,-0.2843341,-0.4464884,-0.497468,-0.2333545
1875,-0.3667476,-0.4728427,-0.2606525,-0.5034386,-0.2300565
1876,-0.4108464,-0.4150468,-0.406646,-0.5499525,-0.2717402
1877,-0.0824243,-0.0729418,-0.0919069,-0.2102971,0.0454484
1878,0.010314,0.1059063,-0.0852783,-0.1127975,0.1334255
1879,-0.2887356,-0.3165351,-0.260936,-0.4205767,-0.1568944
1880,-0.3031736,-0.36691,-0.2394372,-0.425696,-0.1806512
1881,-0.2130113,-0.2561584,-0.1698642,-0.3380286,-0.087994
1882,-0.2721079,-0.3364284,-0.2077874,-0.3972985,-0.1469172
1883,-0.3275571,-0.4004132,-0.254701,-0.4391908,-0.2159234
1884,-0.4744491,-0.6070136,-0.3418846,-0.5835035,-0.3653948
1885,-0.4581323,-0.4922056,-0.424059,-0.5674797,-0.348785
1886,-0.4081737,-0.4292276,-0.3871198,-0.5127968,-0.3035507
1887,-0.4883416,-0.4814565,-0.4952266,-0.6030247,-0.3736584
1888,-0.3725872,-0.3670244,-0.37815,-0.4900803,-0.2550941
1889,-0.250402,-0.262188,-0.238616,-0.3740605,-0.1267435
1890,-0.5002501,-0.513421,-0.4870791,-0.6248437,-0.3756565
1891,-0.3975334,-0.4046116,-0.3904552,-0.5341403,-0.2609265
1892,-0.506568,-0.573176,-0.4399601,-0.6446169,-0.3685191
1893,-0.4949461,-0.5550261,-0.4348663,-0.6299571,-0.3599351
1894,-0.4787462,-0.4361688,-0.5213236,-0.6221389,-0.3353536
1895,-0.4418364,-0.4364049,-0.447268,-0.5808925,-0.3027804
1896,-0.2785944,-0.2857134,-0.2714755,-0.4104024,-0.1467864
1897,-0.2546506,-0.2444544,-0.2648469,-0.3926711,-0.1166303
1898,-0.4740416,-0.4134492,-0.534634,-0.6094058,-0.3386775
1899,-0.3443069,-0.3157906,-0.3728232,-0.47468,-0.2139338
1900,-0.2301605,-0.1854298,-0.2748912,-0.3637094,-0.0966116
